dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
5.50,4,,3.25,N1:2.80,33000185,,5.80,6.50,
5.50,5.25,,4.75,N1:3,33000186,,3.40,4.75,
7.50,9,,4.75,N1:2.80,33000187,,7,5.75,
8.25,8.75,,6.50,N1:3,33000188,,7.20,5.50,
6.50,9.25,,5.50,N1:7.40,33000189,,8.60,8.25,
7.75,8.25,,4.75,N1:7.40,33000190,,8.20,8.75,
7.50,8,,5.50,N1:7.40,33000191,,8.40,7.25,
7.25,7.25,,4.50,N1:2.80,33000192,,7.60,7.50,
,,7,,N1:5.60,33000193,4.25,8,6.50,7
6.25,6.25,,3,N1:4.20,33000194,,6.40,6.25,
4.75,5.25,,3,N1:4.40,33000195,,4,5.25,
3.50,5.50,,3.25,N1:4.40,33000196,,5.80,6,
6.50,7.25,,3.75,N1:2.60,33000197,,3.80,4.75,
6.75,8.50,,5,N1:5.40,33000198,,8.80,8.50,
6.50,8,,4.25,N1:7.20,33000199,,7.80,7.25,
,,5,,N1:6,33000200,4.75,7.60,6.50,7.75
8,8.50,,4.50,N1:6.20,33000201,,8.80,7.75,
5.25,6.50,,4,N1:6.40,33000202,,5.80,7,
5,7.25,,4.50,N1:4,33000203,,7.40,5.75,
8.50,8.50,,7.75,N1:4.40,33000204,,5.20,5.75,
7.50,8.25,,4.50,N1:3.20,33000205,,4.20,7.50,
6.25,8,,3.50,N1:6.80,33000206,,7,6.25,
6.50,7.75,,3.25,N1:2.40,33000207,,2.80,5.50,
8.25,9,,6,N1:9,33000208,,8.60,8.75,
7.50,9.25,,5.50,N1:6.60,33000209,,8.60,6.75,
5.25,6,,4.75,N1:3.40,33000210,,2.20,6.58,
7,8.25,,6.25,N1:7.40,33000211,,9,8.50,
,,9,,N1:5,33000212,6.50,9.20,6.50,8
,,4.50,,N1:2.40,33000213,4.50,6.40,5.50,5.50
8,9.25,,6.75,N1:2.20,33000214,,7.40,6.75,
7.50,9,,5.25,N1:4,33000215,,7.80,7.50,
,,5.75,,N1:1.80,33000216,5.75,8,7.50,8.25
,,3.75,,N1:7.20,33000217,6,8.80,6.75,7.25
,,4.50,,N1:6,33000218,5.25,7.80,6.50,8.25
,,5.75,,N1:9.20,33000219,6.25,9.40,5.25,8.75
7.75,7.50,,4.75,N1:2.40,33000220,,7.40,6.25,
8.25,8.50,,7.25,N1:6,33000221,,8,6.50,
6.50,8.25,,6.50,N1:2.20,33000222,,4.20,4.75,
,,4.50,,N1:5.60,33000223,4.50,8.40,6.50,8
5.50,7,,4.50,N1:3.40,33000224,,8.20,5.75,
6.50,7.50,,6,N1:3.20,33000225,,5,6,
8.25,8.50,,6,N1:8.60,33000226,,8.40,9,
4.75,6.50,,3.75,N1:4.20,33000227,,6.80,7.50,
6.75,5.75,,4.25,N1:3.20,33000228,,4.60,6.25,
6.25,8,,5,N1:1.80,33000229,,5.80,6,
6.25,7.50,,5.25,N1:3.40,33000230,,5,5.50,
8.75,9.50,,9,N1:2.40,33000231,,8.80,6.75,
5.50,7.75,,5.50,N1:3.80,33000232,,3.60,7.25,
,,7.50,,N1:4,33000233,6.25,8.60,5.50,8.50
7.25,9.50,,7.25,N1:4.20,33000234,,7.80,7,
6.50,8,,6,N1:5.20,33000235,,8.40,7,
,,4.75,,N1:3,33000236,5,7,7,5.75
6,6.50,,3.25,N1:4.20,33000237,,6.20,7.25,
7.50,7.75,,4.75,N1:4.60,33000238,,7.80,6.42,
6.50,9.25,,4.25,N1:6,33000239,,7.20,6.50,
7.75,8,,5.25,N1:4.40,33000240,,7.40,6.75,
5.50,8.25,,3.50,N1:7.20,33000241,,7.40,7.75,
6.25,9.75,,4.75,N1:4.40,33000242,,8,6.75,
7.75,9.25,,7.75,N1:3.20,33000243,,7.60,6.50,
,,7.25,,N1:4.40,33000244,6,8.20,7.25,7.75
5.25,7,,3,N1:4.20,33000245,,7.40,8.25,
4.50,5.50,,4.50,N1:3.80,33000246,,4,3,
7.25,9,,5,N1:3.20,33000247,,8.40,7.25,
6.25,7.50,,3.25,N1:2.20,33000248,,7.20,6.50,
6.25,8,,5,N1:3.40,33000249,,7.20,7,
,,4.75,,N1:2,33000250,5.50,7.40,4.75,6.25
6.50,9.25,,4.50,N1:5.40,33000251,,7.80,6.75,
6.50,9.75,,5.25,N1:7.20,33000252,,8.80,7.50,
7.25,8,,6,N1:5.40,33000253,,7.20,8.25,
5.75,6.50,,4,N1:3.80,33000254,,5.60,4.75,
5,6.25,,4.75,N1:4.80,33000255,,6,6.25,
6.50,8.50,,3.75,N1:9.20,33000256,,9,9.50,
7.25,8.75,,4.50,N1:7,33000257,,6.40,5.75,
4,4.75,,3.25,N1:2.40,33000258,,4.40,6,
,,3.50,,N1:3.80,33000259,3,7.60,4,6.75
,,4,,N1:5.20,33000260,4.75,6.60,5.25,6.75
6.50,7.75,,5.50,N1:2.60,33000261,,4.60,6.75,
5.50,8,,6.25,N1:4.40,33000262,,8.20,9,
5.75,6.50,,3.75,N1:2.40,33000263,,4,6.75,
,,5.25,,N1:6.60,33000264,5,8.80,6.75,8
,,9,,N1:6,33000265,5,9,7,8.75
7.50,8.75,,4,N1:7.40,33000266,,8.20,6.25,
5.75,7.75,,7,N1:3.80,33000267,,5.80,6,
3.25,7.25,,4.50,N1:3.40,33000268,,5.60,4.25,
1.50,4.50,,3.50,N1:2,33000269,,2.20,4.50,
5.75,7.75,,2.75,N1:4.40,33000270,,4.60,5.25,
7.25,8.50,,3.75,N1:4.60,33000271,,6.60,7.25,
4,7.75,,2.75,N1:3.40,33000272,,7.20,8,
,,7.50,,N1:5,33000273,5,7.80,5.75,7.25
,,4.50,,N1:5.60,33000274,3.75,7.60,5,6.75
8,8,,3.75,N1:3.20,33000275,,5.20,4.75,
7.75,8,,5.25,N1:1.80,33000276,,6.60,7.50,
,,8.25,,N1:4.20,33000277,5.75,9.60,5.50,8.75
7.50,9,,4.75,N1:4.80,33000278,,4.40,7.25,
,,8.75,,N1:8,33000279,8.75,9.40,7,7.25
6.75,8.75,,6.75,N1:5.60,33000280,,7.60,6.25,
,,7.50,,N1:4.80,33000281,4.25,8.60,6.50,7.50
6.75,8.25,,7,N1:4,33000282,,7,6,
