authors,cover_type,currency,link_book,link_img,price,title
TS. Nguyễn Thị Tuyết Dung,Bìa mềm,VND,https://tiki.vn/dinh-gia-trong-xay-dung-theo-co-che-moi-nghi-dinh-68-2019-nd-cp-p53733829.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/1b/77/64/53f5e28d8745f7599b40a9df33d81989.jpg,172990.0,Định Giá Trong Xây Dựng Theo Cơ Chế Mới ( Nghị Định 68/2019/NĐ-CP)
Bìa mềm,,VND,https://tiki.vn/vat-ly-ban-dan-tap-1-nhung-van-de-vat-ly-co-ban-p17952037.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/50/7e/51/2a71c2f18dccdf8c9f6de29bc13394bb.jpg,40500.0,Vật lý bán dẫn (Tập 1: Những vấn đề vật lý cơ bản)
Bìa mềm,,VND,https://tiki.vn/may-nen-khi-p17733271.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/6d/93/db/a1b1b4de5541cb8cecb1fdfdd903ec3a.jpg,141990.0,Máy nén khí
Bìa cứng,,VND,https://tiki.vn/co-so-ly-thuyet-cua-cac-phuong-phap-phan-tich-dien-hoa-p14525888.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/a1/d4/5a/2cc51215aa63c18329cd2eaa6aceb1d2.jpg,337980.0,Cơ sở lý thuyết của các phương pháp phân tích điện hóa
Bìa mềm,,VND,https://tiki.vn/gian-yeu-may-va-thiet-bi-cong-nghe-san-xuat-hoa-duoc-p29478068.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/e4/ec/4a/913f5270b19474f7cfd2a5196e4c4932.jpg,237990.0,Giản yếu máy và thiết bị công nghệ sản xuất hóa dược
Gerry Bailey,Bìa mềm,VND,https://tiki.vn/tap-lam-kien-truc-su-nhung-toa-nha-choc-troi-p468400.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/n/h/nhung_toa_nha_choc_troi.jpg,18750.0,Tập Làm Kiến Trúc Sư - Những Toà Nhà Chọc Trời
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/cac-vi-du-tinh-toan-dam-cau-chu-i-t-super-t-be-tong-cot-thep-du-ung-luc-theo-tieu-chuan-22tcn272-05-p26687893.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/52/46/70/13c3b6b7104bc60888e6f283f0ab1038.jpg,82400.0,"Các Ví Dụ Tính Toán Dầm Cầu Chữ I, T Super-T, Bê Tông Cốt Thép Dự Ứng Lực Theo Tiêu Chuẩn 22TCN272-05"
TS. Đỗ Văn Quang,Bìa mềm,VND,https://tiki.vn/gioi-thieu-chinh-sach-va-mo-hinh-quan-ly-nuoc-tren-the-gioi-va-viet-nam-p23142430.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/ba/c7/c7/0efd06283b7f8b860d40a924e5c56d7c.jpg,87200.0,Giới Thiệu Chính Sách Và Mô Hình Quản Lý Nước Trên Thế Giới Và Việt Nam
Horvathnne Sipter Judit,Bìa mềm,VND,https://tiki.vn/kham-pha-the-gioi-nhung-hien-tuong-thien-nhien-ki-thu-p578799.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/n/h/nhung-hien-tuong-thien-nhien-ki-thu--bia-mem---1-.u2769.d20170303.t142303.350386.jpg,43520.0,Khám Phá Thế Giới - Những Hiện Tượng Thiên Nhiên Kì Thú
PGS.TS. Lê Thanh Sơn,Bìa mềm,VND,https://tiki.vn/bieu-tuong-va-khong-gian-kien-truc-do-thi-p32071853.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/d9/1b/c5/b59930ae8a9bb3eeee07ccf09121c62a.jpg,65450.0,Biểu Tượng Và Không Gian Kiến Trúc - Đô Thị
